Descrição,Valores
Nome do Atributo,"Chave, Garfo"
Número de Classes,2
Número de Imagens,72
Tamanho da Base (bytes),20411392
Resolução das Imagens,"1406x1600, 1600x1359, 1253x1600, 1600x1414, 1536x1526, 1500x1599, 1348x1600, 1333x1600, 1382x1600, 1396x1600, 1600x1391, 1600x1327, 1360x1600, 1600x1389, 1204x1600, 1573x1536, 1512x1600, 1600x1278, 1317x1600, 1515x1600, 1120x1599, 1395x1600, 1600x1258, 1600x1254, 1536x1588, 1600x1338, 1167x1600, 1385x1600, 1536x1415, 1599x1485, 1357x1600, 1600x1410, 1481x1600, 1497x1600, 1600x1191, 1600x1277, 1265x1600, 1115x1600, 1600x1365, 1600x1092, 1462x1600, 1600x1515, 1273x1600, 1206x1600, 1225x1600, 1559x1536, 1095x1600, 1600x1251, 1262x1599, 1600x1464, 1599x1365, 1600x1322, 1381x1599, 1600x1066, 1600x1357, 1435x1593, 1316x1600, 1600x1312, 1600x1418, 1600x952, 1193x1600, 1303x1600, 1409x1472, 1600x1301, 1428x1599, 1536x1576, 1139x1600, 1600x1115, 1357x1600, 1204x1600, 1556x1449, 1600x899"
